primary_id,team_name,ranking,league_id,league_name,market_value
3524,Clermont Foot 63,12,FR1,Ligue 1,32900000
415,FC Toulouse,11,FR1,Ligue 1,61350000
1147,AC Ajaccio,18,FR1,Ligue 1,25950000
290,AJ Auxerre,17,FR1,Ligue 1,49200000
610,Ajax Amsterdam,2,NL1,Eredivisie,275200000
1090,AZ Alkmaar,3,NL1,Eredivisie,93750000
133,SC Cambuur Leeuwarden,18,NL1,Eredivisie,17075000
1283,FC Emmen,15,NL1,Eredivisie,13775000
798,Excelsior Rotterdam,16,NL1,Eredivisie,15050000
234,Feyenoord Rotterdam,1,NL1,Eredivisie,149300000
385,Fortuna Sittard,11,NL1,Eredivisie,22425000
1435,Go Ahead Eagles Deventer,12,NL1,Eredivisie,12025000
202,FC Groningen,17,NL1,Eredivisie,33425000
306,SC Heerenveen,10,NL1,Eredivisie,32200000
467,NEC Nijmegen,9,NL1,Eredivisie,19050000
383,PSV Eindhoven,4,NL1,Eredivisie,184350000
235,RKC Waalwijk,8,NL1,Eredivisie,13625000
468,Sparta Rotterdam,6,NL1,Eredivisie,11725000
317,FC Twente Enschede,5,NL1,Eredivisie,40125000
200,FC Utrecht,7,NL1,Eredivisie,42700000
499,Vitesse Arnheim,13,NL1,Eredivisie,38775000
724,FC Volendam,14,NL1,Eredivisie,12550000
409,Red Bull Salzburg,1,A1,Bundesliga,223325000
122,SK Sturm Graz,2,A1,Bundesliga,40475000
14,FK Austria Wien,6,A1,Bundesliga,23725000
4441,Wolfsberger AC,9,A1,Bundesliga,14875000
170,SK Rapid Wien,4,A1,Bundesliga,24675000
28760,SK Austria Klagenfurt,5,A1,Bundesliga,11250000
2446,WSG Tirol,7,A1,Bundesliga,8850000
413,LASK,3,A1,Bundesliga,27475000
3551,SCR Altach,12,A1,Bundesliga,11400000
266,SV Ried,11,A1,Bundesliga,9750000
4467,TSV Hartberg,10,A1,Bundesliga,10300000
541,SC Austria Lustenau,8,A1,Bundesliga,10100000
260,FC Zürich,8,C1,Super League,30800000
26,FC Basel 1893,6,C1,Super League,41775000
452,BSC Young Boys,1,C1,Super League,55975000
2790,FC Lugano,4,C1,Super League,15860000
257,FC St. Gallen 1879,3,C1,Super League,26525000
61,Servette FC,2,C1,Super League,26900000
321,FC Sion,9,C1,Super League,16760000
504,Grasshopper Club Zürich,7,C1,Super League,21550000
242,FC Winterthur,10,C1,Super League,9425000
434,FC Luzern,5,C1,Super League,20550000
432,Chicago Fire FC,,MLS1,Major League Soccer,33300000
623,New York Red Bulls,,MLS1,Major League Soccer,38650000
626,New England Revolution,,MLS1,Major League Soccer,38775000
813,Columbus Crew,,MLS1,Major League Soccer,35600000
2440,D.C. United,,MLS1,Major League Soccer,29250000
4078,CF Montréal,,MLS1,Major League Soccer,27925000
11141,Toronto FC,,MLS1,Major League Soccer,51600000
25467,Philadelphia Union,,MLS1,Major League Soccer,49400000
40058,New York City FC,,MLS1,Major League Soccer,55575000
45604,Orlando City SC,,MLS1,Major League Soccer,42075000
51663,Atlanta United FC,,MLS1,Major League Soccer,53350000
51772,FC Cincinnati,,MLS1,Major League Soccer,44950000
63966,Nashville SC,,MLS1,Major League Soccer,35400000
69261,Inter Miami CF,,MLS1,Major League Soccer,31425000
78435,Charlotte FC,,MLS1,Major League Soccer,37975000
218,San Jose Earthquakes,,MLS1,Major League Soccer,44850000
1061,Los Angeles Galaxy,,MLS1,Major League Soccer,40225000
1247,Colorado Rapids,,MLS1,Major League Soccer,33950000
4284,Sporting Kansas City,,MLS1,Major League Soccer,38850000
4291,Portland Timbers,,MLS1,Major League Soccer,38150000
6321,Vancouver Whitecaps FC,,MLS1,Major League Soccer,37850000
6643,Real Salt Lake City,,MLS1,Major League Soccer,25450000
8816,FC Dallas,,MLS1,Major League Soccer,44475000
9168,Houston Dynamo FC,,MLS1,Major League Soccer,27525000
9636,Seattle Sounders FC,,MLS1,Major League Soccer,49025000
51828,Los Angeles FC,,MLS1,Major League Soccer,52600000
56089,Minnesota United FC,,MLS1,Major League Soccer,34375000
72309,Austin FC,,MLS1,Major League Soccer,48825000
82686,St. Louis CITY SC,,MLS1,Major League Soccer,20075000
